id,query,intent,classified_at
1,role,finish,mind
2,specific,sort,whatever
3,will,five,ago
4,act,me,international
5,kid,this,even
6,risk,choose,although
7,early,attention,serious
8,difference,machine,possible
9,increase,believe,shoulder
10,hundred,town,building
11,number,again,top
12,only,Mrs,know
13,toward,watch,realize
14,remember,wait,operation
15,another,perform,box
16,gun,call,party
17,heart,management,company
18,system,heavy,health
19,most,specific,movement
20,image,own,matter
21,any,level,after
22,account,course,result
23,day,herself,reduce
24,brother,information,all
25,his,what,again
26,imagine,gas,than
27,language,high,region
28,discussion,ball,boy
29,three,politics,magazine
30,return,line,television
31,husband,opportunity,three
32,memory,official,simple
33,ball,piece,word
34,follow,forward,record
35,read,ball,low
36,family,talk,address
37,fish,both,on
38,enough,building,minute
39,as,possible,boy
40,knowledge,fine,machine
41,charge,course,compare
42,strategy,opportunity,these
43,town,everyone,image
44,tend,relate,cover
45,important,machine,bill
46,eat,system,add
47,production,relate,year
48,lay,happy,week
49,summer,color,scientist
50,agency,central,table
51,nothing,notice,set
52,film,record,despite
53,building,know,threat
54,more,play,here
55,think,physical,hospital
56,member,beyond,see
57,whether,pull,member
58,quickly,computer,political
59,few,people,create
60,reality,raise,business
61,each,miss,generation
62,professor,pressure,strategy
63,impact,throw,usually
64,small,important,term
65,soldier,leader,factor
66,growth,parent,something
67,fish,of,course
68,together,local,laugh
69,nation,actually,job
70,clear,program,personal
71,by,former,night
72,situation,size,able
73,cold,any,media
74,partner,can,foot
75,reveal,chance,boy
76,site,born,better
77,range,view,evidence
78,eat,run,range
79,send,new,party
80,day,bill,voice
81,budget,admit,guy
82,nature,your,unit
83,system,night,history
84,find,scene,condition
85,college,detail,street
86,during,dream,cold
87,bit,yard,individual
88,lay,few,situation
89,up,to,soon
90,ability,official,employee
91,far,sound,few
92,white,happy,fear
93,test,final,get
94,short,race,education
95,rate,two,pay
96,by,wife,large
97,argue,give,effect
98,her,state,responsibility
99,week,mother,writer
100,manager,movement,black
101,and,suddenly,either
102,rich,painting,economic
103,establish,tough,bit
104,produce,above,if
105,magazine,win,history
106,outside,how,game
107,style,those,it
108,reach,pretty,dark
109,produce,allow,car
110,security,understand,international
111,her,benefit,pattern
112,government,professor,that
113,center,season,lawyer
114,phone,face,subject
115,society,receive,before
116,will,as,yes
117,power,late,push
118,study,again,what
119,anything,star,culture
120,box,market,Democrat
121,forget,Mrs,administration
122,star,safe,training
123,indicate,just,class
124,same,impact,discuss
125,entire,people,item
126,usually,he,size
127,receive,themselves,trouble
128,interesting,choose,fund
129,east,if,money
130,seek,upon,rock
131,two,add,rule
132,throughout,trade,same
133,long,technology,fast
134,deep,wrong,option
135,against,forget,color
136,station,difficult,environment
137,let,machine,option
138,fact,word,as
139,reveal,task,add
140,us,take,sure
141,chance,data,find
142,probably,mention,interesting
143,through,this,door
144,world,have,yourself
145,thing,meeting,news
146,rate,much,series
147,actually,lay,onto
148,evening,cut,him
149,possible,south,feeling
150,just,use,everyone
151,reveal,social,onto
152,everybody,food,doctor
153,school,job,start
154,position,former,program
155,plan,well,partner
156,generation,especially,officer
157,here,example,all
158,seven,trouble,quite
159,hotel,defense,water
160,time,cultural,tell
161,scene,will,at
162,final,manage,two
163,point,sound,inside
164,thus,through,require
165,rather,maybe,tell
166,Mr,up,miss
167,whose,simply,require
168,wait,most,stock
169,memory,research,community
170,theory,him,include
171,real,back,vote
172,threat,social,certain
173,rather,smile,everything
174,like,mention,fish
175,thus,include,interesting
176,around,religious,long
177,state,discuss,white
178,marriage,service,federal
179,by,myself,visit
180,represent,hard,people
181,score,woman,learn
182,both,answer,early
183,tonight,guy,significant
184,reach,financial,these
185,visit,church,building
186,study,throw,side
187,wonder,kind,green
188,choose,argue,high
189,financial,door,relationship
190,stand,itself,than
191,true,evidence,law
192,population,next,head
193,believe,create,market
194,focus,face,market
195,find,everybody,arm
196,city,across,soldier
197,sure,community,seat
198,two,necessary,family
199,more,hair,add
200,stand,blood,city
