id,product1_id,product2_id,similarity_score
1,sit,food,133.51
2,hospital,final,64.32
3,figure,even,59.87
4,issue,smile,54.15
5,real,style,408.27
6,less,politics,468.64
7,cost,smile,355.1
8,particularly,now,153.13
9,season,include,335.58
10,likely,again,396.27
11,financial,meeting,401.99
12,subject,I,406.54
13,test,whose,281.26
14,civil,instead,182.71
15,line,affect,96.33
16,try,yeah,169.79
17,compare,teacher,157.52
18,that,front,435.81
19,organization,sure,175.7
20,kitchen,themselves,189.26
21,poor,operation,118.1
22,meeting,some,213.18
23,pressure,game,82.82
24,general,say,458.03
25,because,but,355.25
26,under,world,276.53
27,deal,buy,214.81
28,body,per,126.19
29,someone,look,372.29
30,cut,collection,410.67
31,per,and,222.92
32,degree,word,134.65
33,let,attorney,106.92
34,near,try,142.96
35,position,event,495.43
36,mother,last,427.95
37,billion,your,498.71
38,baby,movie,379.28
39,scientist,but,28.99
40,hand,key,208.74
41,while,positive,290.08
42,all,doctor,469.68
43,until,heart,444.57
44,rich,investment,477.72
45,him,fill,32.84
46,be,peace,18.61
47,together,price,370.85
48,pattern,hand,42.94
49,must,until,131.25
50,future,somebody,242.8
51,music,economic,383.17
52,serious,participant,290.45
53,serious,girl,253.08
54,vote,to,306.46
55,tax,clearly,413.74
56,film,seven,19.86
57,still,how,282.99
58,million,enjoy,304.02
59,wear,fire,329.08
60,memory,accept,462.46
61,power,owner,42.38
62,avoid,college,362.96
63,grow,travel,248.22
64,see,people,451.1
65,charge,very,457.85
66,wonder,record,486.72
67,lawyer,dinner,311.15
68,treatment,Democrat,363.29
69,themselves,wind,363.39
70,begin,glass,305.78
71,guess,democratic,422.07
72,charge,check,239.46
73,financial,check,18.21
74,crime,water,172.58
75,her,change,354.56
76,traditional,in,164.78
77,whole,table,36.6
78,interesting,speak,127.6
79,money,science,422.63
80,hard,factor,70.91
81,whose,season,237.67
82,event,moment,240.5
83,grow,federal,224.73
84,keep,even,369.88
85,eye,involve,488.09
86,above,father,437.61
87,station,one,309.92
88,analysis,senior,390.2
89,case,economic,412.07
90,some,evening,271.83
91,huge,campaign,298.85
92,or,true,159.43
93,maybe,real,161.26
94,family,available,453.91
95,out,pretty,219.87
96,arrive,seem,330.96
97,war,appear,391.98
98,early,behavior,493.03
99,memory,future,491.21
100,new,particular,429.67
101,family,develop,294.16
102,same,pattern,334.83
103,seem,effect,151.61
104,information,blood,132.66
105,enough,speech,342.35
106,option,wind,36.94
107,thousand,paper,372.68
108,challenge,law,404.97
109,send,politics,13.78
110,clear,total,411.47
111,check,north,140.95
112,rather,role,129.28
113,international,garden,79.21
114,budget,since,80.32
115,your,out,408.29
116,race,science,435.45
117,first,determine,257.09
118,as,expect,394.19
119,successful,stay,92.77
120,second,tonight,259.99
121,miss,study,314.14
122,decade,safe,359.0
123,eye,mouth,189.64
124,service,share,437.16
125,rate,task,160.32
126,theory,letter,233.61
127,agree,price,286.26
128,price,beautiful,312.24
129,rate,very,379.89
130,price,fire,121.87
131,former,citizen,33.81
132,it,service,10.22
133,partner,sport,138.59
134,rock,whatever,121.63
135,trial,ability,145.38
136,list,check,210.87
137,word,reason,149.83
138,safe,fill,284.17
139,a,particular,131.3
140,more,between,150.08
141,not,there,202.46
142,despite,interesting,229.4
143,authority,operation,270.18
144,career,activity,217.42
145,and,concern,431.92
146,many,own,50.57
147,toward,tax,258.79
148,side,test,178.65
149,lose,must,175.61
150,southern,doctor,177.18
151,sort,yet,124.8
152,opportunity,few,321.81
153,believe,though,73.39
154,but,see,121.05
155,power,too,373.72
156,pretty,sense,245.89
157,born,blood,461.33
158,bill,last,106.66
159,friend,break,48.69
160,statement,general,331.34
161,long,here,248.91
162,middle,thank,394.96
163,bill,town,198.96
164,name,amount,402.0
165,natural,record,298.9
166,manage,fish,454.81
167,state,serve,438.59
168,hold,technology,282.8
169,agreement,doctor,331.65
170,relate,several,62.69
171,out,different,434.29
172,anything,media,36.68
173,red,say,322.67
174,themselves,eat,68.04
175,crime,clearly,272.5
176,first,impact,119.3
177,art,go,47.57
178,beautiful,campaign,464.38
179,item,foot,35.1
180,instead,occur,380.63
181,hospital,front,204.94
182,feeling,decade,171.08
183,include,think,239.89
184,cell,child,190.51
185,between,outside,42.58
186,test,to,499.5
187,leg,character,151.77
188,continue,song,98.43
189,teach,pressure,75.45
190,drop,adult,426.12
191,case,manager,343.8
192,food,night,386.15
193,resource,who,463.97
194,account,lead,141.62
195,partner,letter,418.71
196,team,their,250.06
197,we,quickly,42.94
198,recent,itself,374.49
199,treatment,deal,90.67
200,pressure,social,139.67
